geo_level,geo_code,geo_version,name,variable,value
municipality,BUF,,Buffalo City,< 18,"317,164"
municipality,BUF,,Buffalo City,>= 65,"34,129"
municipality,BUF,,Buffalo City,18 to 64,"483,704"
municipality,CPT,,City of Cape Town,< 18,"1,275,373"
municipality,CPT,,City of Cape Town,>= 65,"249,972"
municipality,CPT,,City of Cape Town,18 to 64,"2,479,671"
municipality,EC101,,Dr Beyers Naude,< 18,"33,765"
municipality,EC101,,Dr Beyers Naude,>= 65,"4,966"
municipality,EC101,,Dr Beyers Naude,18 to 64,"43,466"
municipality,EC102,,Blue Crane Route,< 18,"14,486"
municipality,EC102,,Blue Crane Route,>= 65,"2,347"
municipality,EC102,,Blue Crane Route,18 to 64,"19,230"
municipality,EC104,,Makana,< 18,"27,899"
municipality,EC104,,Makana,>= 65,"4,556"
municipality,EC104,,Makana,18 to 64,"49,606"
municipality,EC105,,Ndlambe,< 18,"21,334"
municipality,EC105,,Ndlambe,>= 65,5704
municipality,EC105,,Ndlambe,18 to 64,"36,142"
municipality,EC106,,Sundays River Valley,< 18,"22,569"
municipality,EC106,,Sundays River Valley,>= 65,"2,587"
municipality,EC106,,Sundays River Valley,18 to 64,"34,636"
municipality,EC108,,Kouga,< 18,"42,050"
municipality,EC108,,Kouga,>= 65,"8,271"
municipality,EC108,,Kouga,18 to 64,"62,620"
municipality,EC109,,Kou-Kamma,< 18,"17,272"
municipality,EC109,,Kou-Kamma,>= 65,"1,756"
municipality,EC109,,Kou-Kamma,18 to 64,"24,661"
municipality,EC121,,Mbhashe,< 18,"136,855"
municipality,EC121,,Mbhashe,>= 65,"14,408"
municipality,EC121,,Mbhashe,18 to 64,"125,987"
municipality,EC122,,Mnquma,< 18,"110,200"
municipality,EC122,,Mnquma,>= 65,"14,609"
municipality,EC122,,Mnquma,18 to 64,122004
municipality,EC123,,Great Kei,< 18,"11,359"
municipality,EC123,,Great Kei,>= 65,"1,969"
municipality,EC123,,Great Kei,18 to 64,"18,364"
municipality,EC124,,Amahlathi,< 18,"41,086"
municipality,EC124,,Amahlathi,>= 65,"5,317"
municipality,EC124,,Amahlathi,18 to 64,"55,423"
municipality,EC126,,Ngqushwa,< 18,25273
municipality,EC126,,Ngqushwa,>= 65,5157
municipality,EC126,,Ngqushwa,18 to 64,"33,264"
municipality,EC129,,Raymond Mhlaba,< 18,"61,953"
municipality,EC129,,Raymond Mhlaba,>= 65,"8,871"
municipality,EC129,,Raymond Mhlaba,18 to 64,"88,692"
municipality,EC131,,Inxuba Yethemba,< 18,"30,372"
municipality,EC131,,Inxuba Yethemba,>= 65,"3,130"
municipality,EC131,,Inxuba Yethemba,18 to 64,"36,991"
municipality,EC135,,Intsika Yethu,< 18,"75,882"
municipality,EC135,,Intsika Yethu,>= 65,"11,316"
municipality,EC135,,Intsika Yethu,18 to 64,"64,961"
municipality,EC136,,Emalahleni,< 18,"61,982"
municipality,EC136,,Emalahleni,< 18,"142,523"
municipality,EC136,,Emalahleni,>= 65,"13,824"
municipality,EC136,,Emalahleni,>= 65,"9,179"
municipality,EC136,,Emalahleni,18 to 64,"298,882"
municipality,EC136,,Emalahleni,18 to 64,"53,372"
municipality,EC137,,Engcobo,< 18,"86,400"
municipality,EC137,,Engcobo,>= 65,"8,825"
municipality,EC137,,Engcobo,18 to 64,"66,789"
municipality,EC138,,Sakhisizwe,< 18,"31,153"
municipality,EC138,,Sakhisizwe,>= 65,"3,293"
municipality,EC138,,Sakhisizwe,18 to 64,"29,401"
municipality,EC139,,Enoch Mgijima,< 18,"119,866"
municipality,EC139,,Enoch Mgijima,>= 65,"13,437"
municipality,EC139,,Enoch Mgijima,18 to 64,"133,708"
municipality,EC141,,Elundini,< 18,"70,865"
municipality,EC141,,Elundini,>= 65,"8,129"
municipality,EC141,,Elundini,18 to 64,"65,935"
municipality,EC142,,Senqu,< 18,"66,363"
municipality,EC142,,Senqu,>= 65,"7,198"
municipality,EC142,,Senqu,18 to 64,"67,159"
municipality,EC145,,Walter Sisulu,< 18,"38,725"
municipality,EC145,,Walter Sisulu,>= 65,"3,221"
municipality,EC145,,Walter Sisulu,18 to 64,"45,317"
municipality,EC153,,Ngquza Hill,< 18,"163,771"
municipality,EC153,,Ngquza Hill,>= 65,"13,378"
municipality,EC153,,Ngquza Hill,18 to 64,"126,230"
municipality,EC154,,Port St Johns,< 18,"89,849"
municipality,EC154,,Port St Johns,>= 65,"7,786"
municipality,EC154,,Port St Johns,18 to 64,"69,144"
municipality,EC155,,Nyandeni,< 18,"160,022"
municipality,EC155,,Nyandeni,>= 65,"13,771"
municipality,EC155,,Nyandeni,18 to 64,"135,908"
municipality,EC156,,Mhlontlo,< 18,"93,241"
municipality,EC156,,Mhlontlo,>= 65,"11,614"
municipality,EC156,,Mhlontlo,18 to 64,"84,321"
municipality,EC157,,King Sabata Dalindyebo,< 18,"219,746"
municipality,EC157,,King Sabata Dalindyebo,>= 65,"19,605"
municipality,EC157,,King Sabata Dalindyebo,18 to 64,"248,997"
municipality,EC441,,Matatiele,< 18,"105,799"
municipality,EC441,,Matatiele,>= 65,"14,192"
municipality,EC441,,Matatiele,18 to 64,"99,457"
municipality,EC442,,Umzimvubu,< 18,"94,576"
municipality,EC442,,Umzimvubu,>= 65,"12,714"
municipality,EC442,,Umzimvubu,18 to 64,"92,331"
municipality,EC443,,Mbizana,< 18,"175,746"
municipality,EC443,,Mbizana,>= 65,"15,456"
municipality,EC443,,Mbizana,18 to 64,"128,746"
municipality,EC444,,Ntabankulu,< 18,"66,291"
municipality,EC444,,Ntabankulu,>= 65,"7,636"
municipality,EC444,,Ntabankulu,18 to 64,"54,922"
municipality,EKU,,Ekurhuleni,< 18,"946,843"
municipality,EKU,,Ekurhuleni,>= 65,"206,531"
municipality,EKU,,Ekurhuleni,18 to 64,"2,225,730"
municipality,ETH,,eThekwini,< 18,"1,291,428"
